Row,Day,Day.Of.Week,dt,Page.Loads,Unique.Visits,First.Time.Visits,Visits
1149,Sunday,1,2017-11-05,"3,097","2,299","1,888",411
1150,Monday,2,2017-11-06,"4,185","3,113","2,538",575
1151,Tuesday,3,2017-11-07,"4,477","3,341","2,689",652
1152,Wednesday,4,2017-11-08,"4,354","3,227","2,579",648
1153,Thursday,5,2017-11-09,"4,194","3,005","2,401",604
1154,Friday,6,2017-11-10,"3,24","2,319","1,833",486
1155,Saturday,7,2017-11-11,"2,424","1,613","1,283",330
1156,Sunday,1,2017-11-12,"3,168","2,309","1,853",456
1175,Friday,6,2017-12-01,"3,577","2,603","2,056",547
1176,Saturday,7,2017-12-02,"2,43","1,827","1,461",366
1177,Sunday,1,2017-12-03,"3,449","2,504","2,006",498
1178,Monday,2,2017-12-04,"4,955","3,673","3,019",654
1179,Tuesday,3,2017-12-05,"4,475","3,435","2,775",660
1180,Wednesday,4,2017-12-06,"4,595","3,452","2,766",686
1181,Thursday,5,2017-12-07,"4,451","3,199","2,563",636
1182,Friday,6,2017-12-08,"3,418","2,549","2,037",512
1183,Saturday,7,2017-12-09,"2,605","1,944","1,572",372
1184,Sunday,1,2017-12-10,"3,483","2,607","2,102",505
1185,Monday,2,2017-12-11,"4,651","3,35","2,656",694
1186,Tuesday,3,2017-12-12,"4,029","3,011","2,351",660
12056,Monday,2,2018-01-01,"1,709","1,12",878,242
1207,Tuesday,3,2018-01-02,"3,389","2,208","1,755",453
1208,Wednesday,4,2018-01-03,"3,391","2,282","1,827",455
1209,Thursday,5,2018-01-04,"3,698","2,31","1,878",432
1210,Friday,6,2018-01-05,"3,511","2,272","1,801",471
1211,Saturday,7,2018-01-06,"2,279","1,498","1,196",302
1212,Sunday,1,2018-01-07,"2,822","1,869","1,495",374
1213,Monday,2,2018-01-08,"4,24","2,784","2,186",598
1214,Tuesday,3,2018-01-09,"4,319","2,844","2,302",542
1215,Wednesday,4,2018-01-10,"4,224","2,866","2,304",562
1216,Thursday,5,2018-01-11,"3,797","2,704","2,203",501
1217,Friday,6,2018-01-12,"3,19","2,127","1,692",435
1237,Thursday,5,2018-02-01,"4,723","3,164","2,571",593
1238,Friday,6,2018-02-02,"3,969","2,572","2,104",468
1239,Saturday,7,2018-02-03,"2,994","2,034","1,702",332
1240,Sunday,1,2018-02-04,"3,162","2,186","1,811",375
1241,Monday,2,2018-02-05,"4,949","3,287","2,735",552
1242,Tuesday,3,2018-02-06,"5,092","3,465","2,838",627
1243,Wednesday,4,2018-02-07,"4,767","3,319","2,729",590
1244,Thursday,5,2018-02-08,"4,625","3,179","2,603",576
1245,Friday,6,2018-02-09,"3,738","2,477","2,015",462
1246,Saturday,7,2018-02-10,"2,739","1,793","1,477",316
1247,Sunday,1,2018-02-11,"3,923","2,476","2,077",399
1248,Monday,2,2018-02-12,"5,341","3,687","3,045",642
1265,Thursday,5,2018-03-01,"4,984","3,315","2,713",602
1266,Friday,6,2018-03-02,"4,13","2,754","2,231",523
1267,Saturday,7,2018-03-03,"2,818","1,922","1,579",343
1268,Sunday,1,2018-03-04,"3,978","2,699","2,249",450
1269,Monday,2,2018-03-05,"5,502","3,727","3,019",708
1270,Tuesday,3,2018-03-06,"5,74","3,842","3,16",682
1271,Wednesday,4,2018-03-07,"5,635","3,734","3,037",697
1272,Thursday,5,2018-03-08,"5,375","3,704","3,044",660
1273,Friday,6,2018-03-09,"4,273","3,038","2,49",548
1274,Saturday,7,2018-03-10,"3,223","2,305","1,918",387
1275,Sunday,1,2018-03-11,"3,956","2,727","2,288",439
1276,Monday,2,2018-03-12,"5,895","4,141","3,447",694
1296,Sunday,1,2018-04-01,"3,567","2,438","1,956",482
1297,Monday,2,2018-04-02,"5,237","3,542","2,875",667
1298,Tuesday,3,2018-04-03,"6,154","4,126","3,438",688
1299,Wednesday,4,2018-04-04,"5,895","4,112","3,418",694
1300,Thursday,5,2018-04-05,"5,858","3,943","3,232",711
1301,Friday,6,2018-04-06,"5,034","3,348","2,749",599
1302,Saturday,7,2018-04-07,"3,613","2,291","1,84",451
1303,Sunday,1,2018-04-08,"4,389","3,059","2,53",529
1304,Monday,2,2018-04-09,"6,278","4,29","3,546",744
1305,Tuesday,3,2018-04-10,"6,836","4,514","3,747",767
1306,Wednesday,4,2018-04-11,"6,731","4,596","3,759",837
1307,Thursday,5,2018-04-12,"6,287","4,332","3,563",769
1326,Tuesday,3,2018-05-01,"6,783","4,542","3,742",800
1327,Wednesday,4,2018-05-02,"7,105","4,865","4,013",852
1328,Thursday,5,2018-05-03,"6,877","4,702","3,854",848
1329,Friday,6,2018-05-04,"5,46","3,711","3,039",672
1330,Saturday,7,2018-05-05,"3,648","2,568","2,058",510
1331,Sunday,1,2018-05-06,"4,917","3,311","2,737",574
1332,Monday,2,2018-05-07,"6,98","4,654","3,881",773
1333,Tuesday,3,2018-05-08,"6,702","4,577","3,7",877
1334,Wednesday,4,2018-05-09,"6,699","4,488","3,581",907
1335,Thursday,5,2018-05-10,"6,001","4,059","3,265",794
1336,Friday,6,2018-05-11,"5,094","3,454","2,766",688
1337,Saturday,7,2018-05-12,"3,179","2,237","1,821",416
1357,Friday,6,2018-06-01,"3,835","2,681","2,172",509
1358,Saturday,7,2018-06-02,"2,511","1,75","1,423",327
1359,Sunday,1,2018-06-03,"3,371","2,308","1,891",417
1360,Monday,2,2018-06-04,"5,226","3,399","2,741",658
1361,Tuesday,3,2018-06-05,"5,139","3,453","2,811",642
1362,Wednesday,4,2018-06-06,"5,051","3,474","2,828",646
1363,Thursday,5,2018-06-07,"4,787","3,283","2,685",598
1364,Friday,6,2018-06-08,"3,956","2,67","2,107",563
1365,Saturday,7,2018-06-09,"2,303","1,589","1,278",311
1366,Sunday,1,2018-06-10,"3,011","2,091","1,717",374
1367,Monday,2,2018-06-11,"4,896","3,326","2,714",612
1368,Tuesday,3,2018-06-12,"4,952","3,309","2,624",685
1387,Sunday,1,2018-07-01,"2,186","1,447","1,14",307
1388,Monday,2,2018-07-02,"4,026","2,533","1,952",581
1389,Tuesday,3,2018-07-03,"3,961","2,515","1,966",549
1390,Wednesday,4,2018-07-04,"3,019","2,032","1,595",437
1391,Thursday,5,2018-07-05,"3,743","2,496","1,997",499
1392,Friday,6,2018-07-06,"3,05","1,995","1,575",420
1393,Saturday,7,2018-07-07,"1,688","1,08",857,223
1394,Sunday,1,2018-07-08,"2,185","1,44","1,145",295
1395,Monday,2,2018-07-09,"4,104","2,576","2,016",560
1396,Tuesday,3,2018-07-10,"4,097","2,694","2,059",635
1397,Wednesday,4,2018-07-11,"3,844","2,506","1,895",611
1398,Thursday,5,2018-07-12,"3,743","2,53","2,001",529
1418,Wednesday,4,2018-08-01,"4,273","2,901","2,31",591
1419,Thursday,5,2018-08-02,"4,194","2,754","2,202",552
1420,Friday,6,2018-08-03,"3,405","2,345","1,833",512
1421,Saturday,7,2018-08-04,"1,8","1,251","1,025",226
1422,Sunday,1,2018-08-05,"2,378","1,694","1,388",306
1423,Monday,2,2018-08-06,"4,319","2,856","2,233",623
1424,Tuesday,3,2018-08-07,"4,388","2,971","2,375",596
1425,Wednesday,4,2018-08-08,"4,205","2,724","2,118",606
1426,Thursday,5,2018-08-09,"3,973","2,555","1,998",557
1427,Friday,6,2018-08-10,"3,51","2,224","1,777",447
1428,Saturday,7,2018-08-11,"1,913","1,281","1,012",269
1429,Sunday,1,2018-08-12,"2,397","1,644","1,284",360
1449,Saturday,7,2018-09-01,"1,731","1,241",989,252
1450,Sunday,1,2018-09-02,"2,258","1,641","1,293",348
1451,Monday,2,2018-09-03,"3,655","2,499","2,032",467
1452,Tuesday,3,2018-09-04,"4,456","2,995","2,435",560
1453,Wednesday,4,2018-09-05,"4,566","3,042","2,456",586
1454,Thursday,5,2018-09-06,"4,314","3,049","2,508",541
1455,Friday,6,2018-09-07,"3,557","2,349","1,89",459
1456,Saturday,7,2018-09-08,"2,281","1,548","1,255",293
1457,Sunday,1,2018-09-09,"3,346","2,255","1,906",349
1458,Monday,2,2018-09-10,"4,711","3,2","2,6",600
1459,Tuesday,3,2018-09-11,"4,709","3,134","2,595",539
1460,Wednesday,4,2018-09-12,"4,379","3,032","2,464",568
1479,Monday,2,2018-10-01,"5,841","3,982","3,331",651
1480,Tuesday,3,2018-10-02,"5,881","4,096","3,514",582
1481,Wednesday,4,2018-10-03,"5,54","3,863","3,249",614
1482,Thursday,5,2018-10-04,"5,636","3,894","3,306",588
1483,Friday,6,2018-10-05,"4,479","3,12","2,638",482
1484,Saturday,7,2018-10-06,"3,076","2,094","1,75",344
1485,Sunday,1,2018-10-07,"3,973","2,865","2,457",408
1486,Monday,2,2018-10-08,"6,045","4,31","3,659",651
1487,Tuesday,3,2018-10-09,"6,126","4,173","3,522",651
1488,Wednesday,4,2018-10-10,"6,084","4,319","3,616",703
1489,Thursday,5,2018-10-11,"6,154","4,254","3,632",622
1490,Friday,6,2018-10-12,"4,868","3,385","2,784",601
1510,Thursday,5,2018-11-01,"6,044","3,988","3,299",689
1511,Friday,6,2018-11-02,"4,86","3,326","2,738",588
1512,Saturday,7,2018-11-03,"3,43","2,289","1,946",343
1513,Sunday,1,2018-11-04,"4,638","3,236","2,744",492
1514,Monday,2,2018-11-05,"6,365","4,329","3,609",720
1515,Tuesday,3,2018-11-06,"6,33","4,291","3,556",735
1516,Wednesday,4,2018-11-07,"5,865","3,937","3,267",670
1517,Thursday,5,2018-11-08,"5,692","3,938","3,298",640
1518,Friday,6,2018-11-09,"5,026","3,533","2,917",616
1519,Saturday,7,2018-11-10,"3,506","2,428","2,018",410
1520,Sunday,1,2018-11-11,"4,778","3,265","2,709",556
1521,Monday,2,2018-11-12,"6,684","4,592","3,795",797
1540,Saturday,7,2018-12-01,"4,055","2,8","2,306",494
1541,Sunday,1,2018-12-02,"5,611","3,906","3,259",647
1542,Monday,2,2018-12-03,"7,65","5,378","4,431",947
1543,Tuesday,3,2018-12-04,"7,372","5,225","4,328",897
1544,Wednesday,4,2018-12-05,"7,369","5,166","4,316",850
1545,Thursday,5,2018-12-06,"7,25","5,093","4,213",880
1546,Friday,6,2018-12-07,"5,735","4,032","3,296",736
1547,Saturday,7,2018-12-08,"4,614","3,24","2,699",541
1548,Sunday,1,2018-12-09,"5,979","4,062","3,352",710
1549,Monday,2,2018-12-10,"7,84","5,421","4,465",956
1550,Tuesday,3,2018-12-11,"7,659","5,267","4,33",937
1551,Wednesday,4,2018-12-12,"7,319","4,983","4,01",973
1571,Tuesday,3,2019-01-01,"1,715","1,168",891,277
1572,Wednesday,4,2019-01-02,"3,431","2,361","1,899",462
1573,Thursday,5,2019-01-03,"4,118","2,793","2,259",534
1574,Friday,6,2019-01-04,"3,504","2,373","1,936",437
1575,Saturday,7,2019-01-05,"2,308","1,609","1,348",261
1576,Sunday,1,2019-01-06,"2,925","2,046","1,648",398
1577,Monday,2,2019-01-07,"4,587","3,1","2,55",550
1578,Tuesday,3,2019-01-08,"4,731","3,182","2,585",597
1579,Wednesday,4,2019-01-09,"4,831","3,245","2,66",585
1580,Thursday,5,2019-01-10,"4,162","2,836","2,298",538
1581,Friday,6,2019-01-11,"3,726","2,476","1,999",477
1582,Saturday,7,2019-01-12,"2,458","1,722","1,413",309
